                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 2.7281,                  3.222,                 1.9417,                0.18006,                0.07907,                0.06127,                 0.0186,                 2.7786,                 3.3756,                 2.0844,              0.0010438,              0.0010438,              0.0010438
                     53,                 2.6541,                  3.224,                 1.9511,                0.29366,                0.02542,                0.03572,                0.01201,                 2.8221,                 3.4977,                 2.0736,              0.0010396,              0.0010396,              0.0010396
                     54,                 2.5586,                 3.1279,                 1.9008,                0.11029,                 0.0839,                0.05412,                0.02175,                 2.6963,                 3.3238,                 2.0128,              0.0010355,              0.0010355,              0.0010355
                     55,                 2.5536,                 3.0718,                 1.9155,                0.42393,                0.02833,                0.05138,                0.01356,                 2.9633,                 3.8782,                 2.1275,              0.0010314,              0.0010314,              0.0010314
                     56,                 2.6251,                 3.2404,                 1.9211,                0.60458,                0.01852,                0.03776,                0.01279,                 2.9625,                 3.7771,                 2.2706,              0.0010273,              0.0010273,              0.0010273
                     57,                 2.6546,                 3.1737,                 1.9456,                0.54603,                0.04237,                0.04791,                 0.0134,                 2.9239,                 3.4314,                 2.1961,              0.0010231,              0.0010231,              0.0010231
                     58,                 2.6397,                  3.141,                 1.9288,                0.54474,                0.02409,                0.03215,                0.01301,                 2.8992,                 3.5175,                 2.0949,               0.001019,               0.001019,               0.001019
                     59,                 2.6777,                  3.237,                 1.9888,                0.12412,                0.09841,                0.06046,                0.02008,                 2.8029,                 3.3468,                 2.0473,              0.0010149,              0.0010149,              0.0010149
                     60,                 2.5696,                 3.1616,                 1.9007,                0.07103,                0.08814,                0.06892,                0.02197,                 2.7711,                 3.2167,                 2.0709,              0.0010107,              0.0010107,              0.0010107
                     61,                 2.5264,                 3.0768,                 1.9659,                0.11867,                0.06009,                0.06605,                 0.0299,                 2.8001,                 3.3179,                 2.1025,              0.0010066,              0.0010066,              0.0010066
                     62,                 2.5047,                 3.0585,                 1.8747,                0.10925,                0.13206,                0.07307,                0.02882,                 2.6608,                 3.4959,                 1.9634,              0.0010025,              0.0010025,              0.0010025
                     63,                 2.5762,                 3.1178,                 1.8923,                0.37941,                0.06136,                0.05979,                0.02407,                 2.6333,                 3.2428,                  2.003,             0.00099837,             0.00099837,             0.00099837
                     64,                 2.5456,                 2.9825,                  1.882,                 0.4243,                  0.054,                0.09493,                0.03163,                 2.8553,                 3.4374,                 2.1172,             0.00099425,             0.00099425,             0.00099425
                     65,                 2.5433,                 2.9092,                 1.8541,                0.42003,                0.07542,                0.11019,                0.04501,                 2.7533,                  3.184,                 2.0627,             0.00099013,             0.00099013,             0.00099013
                     66,                 2.5503,                  2.924,                 1.8564,                0.57755,                  0.054,                 0.0508,                0.01809,                 2.6962,                 3.2776,                 1.9908,               0.000986,               0.000986,               0.000986
                     67,                 2.4592,                 2.8603,                 1.8402,                0.23229,                0.12182,                0.09515,                0.03119,                 2.7591,                 3.0795,                 2.0119,             0.00098187,             0.00098187,             0.00098187
                     68,                 2.5335,                 2.9493,                 1.8332,                 0.1493,                0.12882,                0.08661,                0.03068,                 2.5663,                 2.9598,                 1.9761,             0.00097775,             0.00097775,             0.00097775
                     69,                 2.4636,                 2.8055,                 1.8016,                0.31384,                0.07651,                0.06264,                0.02132,                 2.8012,                  3.263,                 2.0627,             0.00097362,             0.00097362,             0.00097362
                     70,                 2.4432,                 2.7511,                 1.8229,                0.37435,                0.09528,                0.10343,                0.02913,                 2.8063,                 3.1729,                 2.0454,              0.0009695,              0.0009695,              0.0009695
                     71,                 2.4939,                 2.9153,                 1.8585,                0.12647,                0.09996,                0.06615,                0.02174,                 2.6754,                 3.0992,                 1.9833,             0.00096537,             0.00096537,             0.00096537
                     72,                 2.4807,                 2.8441,                 1.9211,                0.09548,                0.09661,                 0.0753,                 0.0289,                 2.5772,                 3.0273,                  1.952,             0.00096125,             0.00096125,             0.00096125
                     73,                 2.5007,                 2.8332,                 1.8109,                0.63734,                 0.0569,                0.05907,                0.02366,                 2.7681,                 3.3597,                 2.0952,             0.00095712,             0.00095712,             0.00095712
                     74,                 2.4465,                 2.6728,                 1.7867,                0.44866,                0.08923,                0.05518,                0.01806,                 2.7232,                 3.3451,                 1.9984,               0.000953,               0.000953,               0.000953
                     75,                 2.4036,                 2.6924,                 1.7737,                0.12415,                 0.1941,                0.06111,                0.02129,                 2.6844,                 3.2154,                 2.0185,             0.00094887,             0.00094887,             0.00094887
                     76,                  2.432,                 2.6912,                 1.7824,                0.20451,                0.11611,                0.09018,                0.03151,                 2.6135,                   3.08,                 1.9099,             0.00094475,             0.00094475,             0.00094475
                     77,                 2.4985,                 2.7069,                 1.8397,                0.60556,                0.08789,                0.09863,                 0.0324,                 2.6441,                 2.9292,                 1.9389,             0.00094062,             0.00094062,             0.00094062
                     78,                 2.3169,                 2.7453,                 1.7737,                 0.0566,                0.11882,                0.08169,                0.02801,                 2.6209,                 3.0257,                 1.9528,              0.0009365,              0.0009365,              0.0009365
                     79,                  2.385,                 2.6542,                  1.777,                0.09824,                0.08814,                0.09246,                0.02932,                 2.6864,                 3.0091,                  2.011,             0.00093238,             0.00093238,             0.00093238
                     80,                 2.4113,                 2.6973,                 1.7588,                0.09319,                0.13205,                0.06944,                0.02412,                 2.7065,                 3.1053,                 2.0206,             0.00092825,             0.00092825,             0.00092825
                     81,                 2.3457,                 2.6309,                 1.7606,                0.09546,                0.10215,                0.08299,                0.02127,                 2.6829,                 3.1369,                 2.0005,             0.00092413,             0.00092413,             0.00092413
                     82,                 2.4394,                 2.5408,                 1.7646,                0.71789,                0.05823,                 0.0963,                0.03337,                  2.682,                 3.2284,                 1.9906,                0.00092,                0.00092,                0.00092
                     83,                 2.3506,                 2.5354,                 1.7528,                0.65269,                0.09661,                0.11046,                0.04369,                 2.6432,                  3.022,                 1.9452,             0.00091588,             0.00091588,             0.00091588
                     84,                 2.2694,                 2.4557,                 1.6752,                0.18508,                0.13054,                0.08297,                0.02884,                 2.7025,                 3.2342,                 2.0238,             0.00091175,             0.00091175,             0.00091175
                     85,                 2.3139,                 2.4575,                 1.7493,                0.08702,                 0.0908,                0.08402,                0.02832,                 2.6691,                 2.9978,                  1.974,             0.00090763,             0.00090763,             0.00090763
                     86,                 2.3748,                 2.5374,                  1.726,                0.11661,                0.12332,                0.10353,                0.03613,                 2.5876,                 2.9408,                 1.9603,              0.0009035,              0.0009035,              0.0009035
                     87,                 2.3112,                 2.4284,                 1.7036,                0.24702,                0.15096,                0.15703,                 0.0536,                 2.5311,                  2.766,                 1.9062,             0.00089938,             0.00089938,             0.00089938
                     88,                 2.2986,                 2.4156,                 1.7039,                0.36414,                0.13221,                0.14422,                0.04481,                  2.631,                 2.8681,                 1.9654,             0.00089525,             0.00089525,             0.00089525
                     89,                 2.2596,                 2.4126,                 1.6887,                0.18649,                0.14206,                0.11298,                0.04092,                 2.6605,                 2.8714,                 1.9846,             0.00089112,             0.00089112,             0.00089112
                     90,                 2.3081,                 2.4344,                 1.6955,                0.16154,                0.13917,                0.10105,                0.03741,                 2.6221,                 2.9226,                 1.9402,               0.000887,               0.000887,               0.000887
                     91,                 2.2835,                 2.3749,                 1.6832,                0.23814,                0.10348,                 0.1006,                0.03255,                 2.6527,                 3.2285,                 1.9467,             0.00088288,             0.00088288,             0.00088288
                     92,                 2.3162,                 2.4971,                 1.7213,                 0.1962,                0.18523,                0.13377,                0.04363,                 2.6708,                 3.0093,                  1.985,             0.00087875,             0.00087875,             0.00087875
                     93,                 2.2712,                 2.3947,                 1.6898,                 0.6634,                0.08947,                0.08756,                0.03541,                 2.6095,                  3.084,                  1.897,             0.00087462,             0.00087462,             0.00087462
                     94,                 2.2971,                 2.4192,                 1.6805,                0.42465,                0.12781,                0.12185,                0.04875,                 2.6628,                 2.9125,                 1.9621,              0.0008705,              0.0008705,              0.0008705
                     95,                 2.2562,                 2.3084,                 1.6796,                0.17811,                0.21021,                0.10095,                0.03606,                 2.6716,                 2.9134,                  1.926,             0.00086637,             0.00086637,             0.00086637
                     96,                 2.2573,                 2.3091,                 1.6879,                0.18612,                0.08754,                  0.048,                0.01555,                 2.8118,                 3.6658,                 2.0906,             0.00086225,             0.00086225,             0.00086225
                     97,                 2.2636,                 2.3391,                 1.6891,                0.15804,                0.19998,                0.09795,                0.03423,                 2.7585,                 3.0422,                 2.0385,             0.00085813,             0.00085813,             0.00085813
                     98,                 2.2662,                 2.4354,                 1.6434,                0.15716,                0.05666,                0.04653,                0.01595,                 2.9146,                 3.8424,                 2.1713,               0.000854,               0.000854,               0.000854
                     99,                 2.1329,                 2.2453,                 1.6353,                0.27756,                0.23494,                0.15686,                0.04813,                  2.637,                  2.855,                 1.9267,             0.00084988,             0.00084988,             0.00084988
                    100,                 2.3063,                 2.4245,                 1.6627,                0.11042,                0.12357,                0.10708,                0.03765,                 2.6327,                 3.1266,                 1.9495,             0.00084575,             0.00084575,             0.00084575
                    101,                 2.2306,                 2.3013,                 1.6453,                0.27209,                0.12984,                0.11879,                0.03494,                  2.802,                 3.1994,                  2.035,             0.00084162,             0.00084162,             0.00084162
                    102,                 2.1357,                 2.2114,                 1.5892,                0.18992,                0.20314,                 0.1666,                0.06544,                 2.6851,                 2.7815,                 1.9624,              0.0008375,              0.0008375,              0.0008375
                    103,                 2.2261,                 2.3017,                 1.6399,                0.28977,                0.19463,                0.20248,                0.08456,                 2.5709,                 2.8138,                 1.8632,             0.00083337,             0.00083337,             0.00083337
                    104,                 2.2237,                 2.3544,                 1.6642,                 0.1514,                0.13551,                0.11779,                0.03921,                 2.6616,                 2.9498,                 1.9809,             0.00082925,             0.00082925,             0.00082925
                    105,                 2.1231,                 2.2821,                 1.6048,                0.19541,                0.12491,                0.12771,                0.04692,                 2.6431,                 2.8405,                 1.9624,             0.00082513,             0.00082513,             0.00082513
                    106,                 2.2391,                 2.3003,                 1.6908,                  0.151,                0.09237,                0.07123,                0.02733,                 2.6426,                 3.0308,                 2.0024,               0.000821,               0.000821,               0.000821
                    107,                 2.1925,                 2.2109,                 1.6271,                0.15204,                0.14735,                0.13445,                0.04873,                 2.5615,                 2.7997,                 1.8871,             0.00081688,             0.00081688,             0.00081688
                    108,                 2.1503,                 2.2008,                 1.6195,                0.38679,                0.18307,                0.13394,                0.04269,                  2.712,                  2.744,                 2.0265,             0.00081275,             0.00081275,             0.00081275
                    109,                  2.176,                 2.1347,                 1.6148,                0.16881,                0.14763,                0.10721,                0.04257,                 2.6336,                 2.9891,                 1.9469,             0.00080863,             0.00080863,             0.00080863
                    110,                 2.1306,                 2.1296,                 1.6191,                0.24018,                0.18731,                0.17735,                0.05817,                 2.7043,                  2.763,                 1.9869,              0.0008045,              0.0008045,              0.0008045
                    111,                 2.1744,                 2.2348,                 1.6058,                0.14315,                0.14767,                0.12659,                0.05568,                 2.6074,                  2.805,                 1.8926,             0.00080038,             0.00080038,             0.00080038
                    112,                 2.1509,                 2.1231,                 1.6351,                0.29737,                0.20963,                0.20073,                0.07531,                 2.7046,                 2.8108,                 1.9451,             0.00079625,             0.00079625,             0.00079625
                    113,                 2.1587,                 2.1096,                 1.6331,                0.34409,                0.21582,                0.22549,                0.09365,                 2.6899,                 2.8201,                 1.9873,             0.00079213,             0.00079213,             0.00079213
                    114,                 2.1378,                 2.1075,                 1.6281,                0.57816,                0.16487,                0.17934,                0.06343,                   2.71,                 2.8304,                 1.9892,               0.000788,               0.000788,               0.000788
                    115,                 2.1028,                 2.0728,                 1.5625,                0.30501,                0.21585,                0.17982,                0.06776,                 2.6639,                 2.8607,                 1.9303,             0.00078387,             0.00078387,             0.00078387
                    116,                 2.1084,                 2.0755,                 1.5924,                0.15646,                0.17484,                0.10852,                0.03137,                 2.7552,                 3.2111,                 2.0188,             0.00077975,             0.00077975,             0.00077975
                    117,                 2.0829,                 2.0249,                 1.5642,                0.20506,                0.20397,                0.13865,                0.04246,                 2.6756,                 2.8248,                 1.9881,             0.00077563,             0.00077563,             0.00077563
                    118,                 2.1366,                 2.0451,                 1.5665,                0.42594,                0.19205,                  0.201,                0.06933,                 2.6767,                 2.8095,                 1.9158,              0.0007715,              0.0007715,              0.0007715
                    119,                 2.0539,                  2.131,                 1.5944,                0.54183,                0.16875,                0.17231,                0.06157,                 2.6973,                  2.843,                 2.0159,             0.00076738,             0.00076738,             0.00076738
                    120,                 2.1159,                 2.1003,                 1.5758,                0.10126,                0.15438,                0.09876,                0.03429,                 2.7623,                 3.0745,                 2.0745,             0.00076325,             0.00076325,             0.00076325
                    121,                  2.032,                 2.0854,                 1.5814,                 0.1924,                0.11216,                 0.0842,                0.02593,                 2.8879,                 3.6363,                 2.1943,             0.00075912,             0.00075912,             0.00075912
                    122,                 2.0513,                 1.9563,                  1.555,                0.31889,                0.20904,                0.18074,                 0.0597,                  2.757,                  2.819,                 1.9926,               0.000755,               0.000755,               0.000755
                    123,                 1.9671,                 1.8931,                 1.4997,                0.32576,                0.16193,                0.16628,                0.06899,                 2.6471,                 2.7438,                 1.9243,             0.00075088,             0.00075088,             0.00075088
                    124,                 2.0033,                 1.9375,                 1.5302,                0.11083,                0.13895,                0.08037,                0.03342,                 2.6948,                 3.1944,                 2.0389,             0.00074675,             0.00074675,             0.00074675
                    125,                      2,                 1.9699,                 1.5622,                0.21044,                0.23522,                0.15284,                0.05862,                  2.636,                 2.7687,                 1.9719,             0.00074263,             0.00074263,             0.00074263
                    126,                 2.0213,                 1.9283,                 1.5723,                0.25047,                0.15898,                0.15894,                0.06274,                 2.6164,                 2.8645,                 1.9377,              0.0007385,              0.0007385,              0.0007385
                    127,                 2.0626,                 2.0126,                 1.5494,                0.24707,                0.24121,                0.15833,                0.05997,                 2.5777,                 2.7541,                 1.9379,             0.00073437,             0.00073437,             0.00073437
                    128,                 1.9507,                 1.9196,                 1.5333,                  0.198,                0.17213,                0.12646,                0.03566,                  2.744,                 3.2288,                 2.0156,             0.00073025,             0.00073025,             0.00073025
                    129,                  2.023,                 1.9498,                 1.5393,                0.26015,                0.12944,                0.11371,                0.04174,                 2.6268,                 3.0078,                 1.9568,             0.00072612,             0.00072612,             0.00072612
                    130,                 2.0414,                 1.9474,                 1.5482,                0.22104,                 0.1463,                0.15398,                0.06215,                 2.6502,                  2.947,                 1.9627,               0.000722,               0.000722,               0.000722
                    131,                 1.9636,                 1.8946,                  1.537,                0.30446,                0.12778,                0.12101,                0.05812,                 2.6429,                 2.8541,                 1.9524,             0.00071788,             0.00071788,             0.00071788
                    132,                 1.9907,                 1.9201,                 1.5089,                0.29193,                0.18595,                0.19531,                0.07017,                 2.6139,                 2.7685,                 1.9536,             0.00071375,             0.00071375,             0.00071375
                    133,                 1.9698,                  1.856,                 1.4915,                0.48987,                0.18728,                0.15061,                0.04589,                 2.7041,                 2.8037,                 2.0375,             0.00070962,             0.00070962,             0.00070962
                    134,                 1.9431,                 1.8609,                 1.4959,                0.38311,                0.23634,                0.20389,                0.07729,                 2.5898,                 2.8131,                 1.9359,              0.0007055,              0.0007055,              0.0007055
                    135,                 1.9544,                 1.8601,                 1.5007,                 0.2849,                0.16189,                0.14785,                0.06222,                  2.618,                 2.7984,                 1.9953,             0.00070137,             0.00070137,             0.00070137
                    136,                 1.9598,                 1.8679,                 1.4702,                 0.3509,                0.20814,                0.15877,                0.06395,                 2.6447,                 2.9028,                 1.9717,             0.00069725,             0.00069725,             0.00069725
                    137,                 1.9876,                 1.8631,                 1.5233,                0.20515,                 0.2419,                 0.1466,                0.05448,                 2.8303,                 3.1347,                 2.1369,             0.00069313,             0.00069313,             0.00069313
                    138,                 1.9816,                 1.8611,                 1.5231,                0.19314,                0.17747,                0.09346,                0.03467,                 2.6312,                 3.1078,                  1.943,               0.000689,               0.000689,               0.000689
                    139,                 1.9734,                 1.8056,                 1.4782,                0.28114,                0.27079,                0.20257,                0.06231,                 2.7446,                 2.9102,                 2.0023,             0.00068488,             0.00068488,             0.00068488
                    140,                 1.9724,                 1.9037,                 1.5154,                0.26741,                0.23504,                0.15125,                0.05265,                 2.6654,                 2.8119,                 1.9719,             0.00068075,             0.00068075,             0.00068075
                    141,                 1.9699,                 1.8897,                 1.4805,                0.27099,                0.22869,                 0.1431,                0.05437,                 2.5905,                 2.8132,                 1.9178,             0.00067663,             0.00067663,             0.00067663
                    142,                 1.8809,                 1.7571,                  1.454,                0.33149,                0.19887,                0.19808,                0.07645,                  2.668,                 2.6658,                 1.9908,              0.0006725,              0.0006725,              0.0006725
                    143,                 1.9203,                 1.8068,                 1.5184,                0.30812,                0.16562,                0.14231,                0.05755,                 2.6458,                 2.9114,                 1.9878,             0.00066838,             0.00066838,             0.00066838
                    144,                 1.8975,                 1.7062,                 1.4574,                0.19539,                0.18251,                0.12098,                0.04348,                 2.7184,                 2.7755,                 2.0516,             0.00066425,             0.00066425,             0.00066425
                    145,                 1.8841,                 1.7913,                 1.4552,                0.27571,                0.12132,                0.11134,                0.04266,                 2.6883,                 2.9076,                 1.9976,             0.00066013,             0.00066013,             0.00066013
                    146,                 1.8519,                 1.6494,                 1.4067,                   0.31,                0.21028,                0.19122,                0.08169,                  2.656,                 2.7662,                 1.9971,               0.000656,               0.000656,               0.000656
                    147,                 1.9166,                 1.7311,                 1.4804,                0.33749,                0.18335,                0.18413,                0.06669,                 2.6918,                 2.7736,                 2.0228,             0.00065188,             0.00065188,             0.00065188
                    148,                  1.987,                 1.8909,                 1.5163,                0.16257,                0.23472,                0.12841,                0.04297,                  2.775,                 2.8149,                 2.1271,             0.00064775,             0.00064775,             0.00064775
                    149,                 1.9435,                 1.8155,                 1.5117,                0.50545,                 0.1957,                0.18389,                0.04996,                 2.8832,                 2.8582,                 2.1964,             0.00064362,             0.00064362,             0.00064362
                    150,                 1.9191,                 1.7343,                 1.4778,                0.41906,                0.23681,                0.23142,                0.07787,                 2.7085,                 2.6867,                 2.0454,              0.0006395,              0.0006395,              0.0006395
                    151,                 1.8437,                  1.714,                 1.4528,                0.50756,                0.12197,                0.13216,                 0.0355,                 2.7408,                 3.1315,                 2.0518,             0.00063538,             0.00063538,             0.00063538
                    152,                 1.9044,                 1.7316,                 1.5127,                0.42621,                0.15762,                0.18906,                0.06857,                 2.7898,                 2.8286,                 2.0968,             0.00063125,             0.00063125,             0.00063125
