                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.741,                 9.3426,                 4.2134,                      0,                      0,                      0,                      0,                 4.6149,                  7.476,                 4.1577,                0.00025,                0.00025,                0.00025
                      2,                 4.7411,                 8.1986,                 4.0991,                      0,                      0,                      0,                      0,                 4.5922,                 7.2696,                 4.1268,             0.00051081,             0.00051081,             0.00051081
                      3,                 4.6101,                 7.0826,                 3.9075,                      0,                      0,                      0,                      0,                 4.5435,                 6.5256,                 4.1051,             0.00076989,             0.00076989,             0.00076989
                      4,                 4.1353,                 6.4566,                 3.6865,                      0,                      0,                      0,                      0,                 4.3717,                 5.8464,                 3.8613,              0.0010272,              0.0010272,              0.0010272
                      5,                  4.052,                 6.1692,                 3.3695,                0.00018,                0.03814,                0.00016,                  5e-05,                 4.0175,                 6.0373,                 3.1566,              0.0012335,              0.0012335,              0.0012335
                      6,                 3.7829,                 5.9944,                 3.1369,                0.00019,                0.04237,                0.00028,                  6e-05,                  3.792,                 6.4928,                 3.2363,              0.0012335,              0.0012335,              0.0012335
                      7,                 3.8392,                 5.6657,                 3.0019,                0.00019,                0.08475,                0.00037,                 0.0001,                 3.4883,                 7.4158,                 2.9634,              0.0012294,              0.0012294,              0.0012294
                      8,                 3.7346,                 5.5964,                 2.9165,                0.00024,                0.04661,                0.00019,                  5e-05,                 3.5179,                 5.4101,                 2.8326,              0.0012252,              0.0012252,              0.0012252
                      9,                 3.7653,                 5.8044,                 2.8261,                 0.0003,                0.08051,                0.00035,                  9e-05,                 3.6173,                  5.502,                 2.8586,              0.0012211,              0.0012211,              0.0012211
                     10,                 3.6776,                 5.3144,                 2.7777,                0.00027,                0.10169,                0.00049,                0.00016,                 3.6413,                 5.5232,                 2.7414,               0.001217,               0.001217,               0.001217
                     11,                 3.5255,                 5.2901,                 2.7112,                0.00029,                0.09322,                0.00031,                  9e-05,                 3.4793,                 5.2572,                 2.6049,              0.0012129,              0.0012129,              0.0012129
                     12,                 3.5192,                 5.0358,                 2.6532,                0.00033,                0.12712,                0.00058,                0.00015,                 3.3463,                 4.8189,                 2.4735,              0.0012087,              0.0012087,              0.0012087
                     13,                 3.4594,                 4.9846,                 2.5528,                0.00025,                0.11017,                0.00057,                0.00014,                 3.4203,                 5.8928,                 2.4678,              0.0012046,              0.0012046,              0.0012046
                     14,                 3.4557,                 4.9038,                 2.5434,                0.00078,                0.15278,                0.00137,                0.00037,                 3.3154,                 4.5963,                 2.3889,              0.0012005,              0.0012005,              0.0012005
                     15,                 3.4012,                 4.7452,                 2.5068,                 0.0007,                0.16277,                0.00239,                 0.0009,                 3.3555,                 4.5374,                 2.5491,              0.0011964,              0.0011964,              0.0011964
                     16,                  3.319,                 4.7229,                  2.507,                0.00054,                0.12579,                0.00073,                0.00024,                 3.2716,                 4.5584,                  2.552,              0.0011922,              0.0011922,              0.0011922
                     17,                 3.3385,                 4.6646,                 2.4846,                0.00131,                0.14564,                0.00123,                0.00034,                   3.31,                 4.6461,                 2.4666,              0.0011881,              0.0011881,              0.0011881
                     18,                 3.2627,                 4.5457,                 2.4222,                 0.0029,                0.12596,                0.00254,                0.00084,                 3.5254,                 4.6265,                 2.7335,               0.001184,               0.001184,               0.001184
                     19,                 3.2984,                 4.4652,                 2.4602,                 0.0045,                0.19824,                0.01204,                0.00238,                 3.3741,                 4.4435,                 2.5364,              0.0011799,              0.0011799,              0.0011799
                     20,                 3.1392,                 4.5691,                 2.3533,                0.00133,                 0.2071,                0.00153,                0.00051,                 3.2231,                 4.3948,                 2.3993,              0.0011757,              0.0011757,              0.0011757
                     21,                 3.2577,                 4.3582,                 2.4142,                0.00115,                0.15457,                0.00227,                 0.0006,                 3.2885,                 4.4384,                 2.6007,              0.0011716,              0.0011716,              0.0011716
                     22,                 3.1659,                 4.4125,                 2.3171,                0.00126,                0.21249,                 0.0021,                0.00076,                 3.2486,                  4.315,                 2.4716,              0.0011675,              0.0011675,              0.0011675
                     23,                 3.1923,                 4.3465,                 2.2921,                0.00144,                0.28803,                0.01113,                0.00486,                 3.2077,                 4.2972,                  2.423,              0.0011634,              0.0011634,              0.0011634
                     24,                 3.1252,                 4.2688,                 2.3147,                0.00377,                0.10292,                0.00342,                0.00071,                 3.4367,                 4.6342,                 2.6208,              0.0011593,              0.0011593,              0.0011593
                     25,                 3.0716,                 4.1414,                 2.2547,                0.00373,                 0.3377,                0.02403,                 0.0042,                 3.1046,                 4.2121,                 2.3811,              0.0011551,              0.0011551,              0.0011551
                     26,                 3.0209,                 4.1803,                 2.2867,                0.00503,                0.24116,                0.02615,                0.01188,                 3.3327,                 4.2481,                   2.55,               0.001151,               0.001151,               0.001151
                     27,                 3.0399,                 4.0976,                 2.2789,                0.01165,                0.12855,                0.01003,                0.00219,                 3.3243,                 4.2063,                 2.4979,              0.0011469,              0.0011469,              0.0011469
                     28,                 3.0081,                 4.1503,                  2.154,                0.00431,                0.42983,                0.03085,                0.00884,                 3.1237,                 3.8828,                 2.3543,              0.0011428,              0.0011428,              0.0011428
                     29,                 2.9892,                 4.0081,                 2.1745,                0.00434,                 0.4666,                0.02363,                0.00616,                 3.1058,                 3.9146,                 2.3091,              0.0011386,              0.0011386,              0.0011386
                     30,                 2.9966,                 3.9575,                 2.1759,                0.00369,                0.33364,                0.00786,                0.00211,                    3.1,                  4.031,                  2.362,              0.0011345,              0.0011345,              0.0011345
                     31,                 2.9652,                 3.8387,                 2.2044,                0.00515,                0.32286,                0.01606,                0.00388,                 3.1547,                 3.9575,                 2.3635,              0.0011304,              0.0011304,              0.0011304
                     32,                 3.0226,                 3.8532,                 2.2117,                0.00524,                0.30409,                0.01464,                0.00391,                  3.079,                 3.9185,                 2.3444,              0.0011263,              0.0011263,              0.0011263
                     33,                 2.8858,                 3.8118,                 2.1493,                 0.0066,                0.29695,                  0.017,                0.00489,                 3.0179,                 4.0292,                 2.3438,              0.0011221,              0.0011221,              0.0011221
                     34,                 2.9018,                 3.7309,                 2.1353,                0.37272,                0.02276,                0.05399,                0.02292,                 2.9482,                   3.63,                 2.2107,               0.001118,               0.001118,               0.001118
                     35,                 2.8445,                 3.6344,                 2.0279,                0.00849,                0.38743,                0.05215,                0.01659,                 2.8288,                 3.6627,                 2.0823,              0.0011139,              0.0011139,              0.0011139
                     36,                 2.8672,                 3.6731,                 2.0623,                0.37177,                0.03512,                 0.0554,                0.01915,                  2.918,                 3.6466,                 2.1846,              0.0011098,              0.0011098,              0.0011098
                     37,                 2.8768,                 3.6459,                  2.094,                0.40182,                0.07157,                0.05715,                0.01787,                 2.9286,                 3.4745,                 2.1269,              0.0011056,              0.0011056,              0.0011056
                     38,                 2.8418,                 3.6764,                 2.0552,                0.04291,                0.03995,                0.03679,                 0.0128,                 2.8566,                 3.5524,                 2.1203,              0.0011015,              0.0011015,              0.0011015
                     39,                 2.8257,                 3.5522,                 2.0571,                0.07046,                  0.027,                0.05445,                0.01912,                 2.9722,                 3.6009,                 2.1722,              0.0010974,              0.0010974,              0.0010974
                     40,                 2.8131,                 3.4529,                 2.0527,                0.10038,                0.10995,                0.05394,                0.01994,                 2.8738,                 3.6481,                 2.1098,              0.0010933,              0.0010933,              0.0010933
                     41,                 2.8367,                 3.5997,                  2.033,                0.00748,                0.50127,                0.03053,                0.01266,                 2.9129,                 3.8895,                 2.0642,              0.0010891,              0.0010891,              0.0010891
                     42,                 2.7493,                 3.5142,                  1.988,                0.07108,                0.05554,                0.03652,                0.01387,                 2.7999,                 3.6243,                 2.1012,               0.001085,               0.001085,               0.001085
                     43,                 2.7148,                 3.4135,                 1.9645,                0.15025,                0.17137,                0.06125,                0.01828,                 2.8631,                 3.5384,                 2.1071,              0.0010809,              0.0010809,              0.0010809
                     44,                 2.7187,                 3.3441,                 1.9981,                0.63618,                0.06215,                 0.0669,                0.02177,                 2.8546,                 3.4708,                 2.0904,              0.0010768,              0.0010768,              0.0010768
                     45,                 2.7084,                 3.3056,                 1.9561,                0.30953,                0.03838,                0.03739,                0.01489,                 2.8561,                 3.4853,                 2.1486,              0.0010726,              0.0010726,              0.0010726
                     46,                 2.6151,                  3.275,                 1.9293,                0.45239,                0.06724,                 0.0543,                 0.0216,                 2.8117,                 3.4054,                 2.1725,              0.0010685,              0.0010685,              0.0010685
                     47,                 2.6323,                 3.2104,                  1.943,                0.76267,                 0.0339,                0.04954,                0.01852,                 2.9294,                 3.7874,                 2.0768,              0.0010644,              0.0010644,              0.0010644
                     48,                  2.686,                 3.3852,                 1.9664,                0.01268,                0.04685,                0.00658,                0.00228,                 2.9228,                 4.0107,                 2.2528,              0.0010603,              0.0010603,              0.0010603
                     49,                 2.7257,                 3.3681,                 1.9908,                0.01055,                0.32693,                0.02516,                0.00524,                 3.0784,                  4.157,                 2.0945,              0.0010561,              0.0010561,              0.0010561
                     50,                 2.7125,                 3.3544,                 1.9529,                 0.1021,                0.07119,                0.04177,                0.01589,                 2.8264,                 3.4183,                 2.1464,               0.001052,               0.001052,               0.001052
                     51,                 2.6323,                 3.1666,                 1.9387,                0.62427,                0.05557,                0.06416,                0.02294,                 2.8133,                 3.3183,                  2.082,              0.0010479,              0.0010479,              0.0010479
